WLBR_ID,Company,Field_Name,Lat,Lon,Yr,OEB,Oil_BBLS,Gas_OEB,Gas_KCF,Days_Tot,Water_Tot,FM AGE,Formation,Oil_Gravity,,,,,,
2500049,FDL OPERATING LLC,SALT CREEK,43.371672,-106.284388,2000,0,0,0,0,396,0,Cret. Upr,WALL CREEK,,,,,,,
2500050,FDL OPERATING LLC,SALT CREEK,43.382760,-106.272780,2000,60,55,5,30,214,0,Cret. Upr,WALL CREEK-2,,,,,,,
2500056,FDL OPERATING LLC,SALT CREEK,43.383070,-106.275440,2000,2495,2282,213,1275,366,342909,Cret. Upr,WALL CREEK-2,,,,,,,
2500057,FDL OPERATING LLC,SALT CREEK,43.382040,-106.288600,2000,3953,3704,249,1492,366,480101,Cret. Upr,WALL CREEK-2,,,,,,,
2500060,FDL OPERATING LLC,SALT CREEK,43.373557,-106.272156,2000,2306,2109,197,1184,366,175602,Cret. Upr,WALL CREEK-2,,,,,,,
2500061,FDL OPERATING LLC,SALT CREEK,43.372337,-106.273801,2000,102,93,9,52,214,123101,Cret. Upr,WALL CREEK-2,,,,,,,
2500062,FDL OPERATING LLC,SALT CREEK,43.372249,-106.288564,2000,1722,1614,108,648,366,85063,Cret. Upr,WALL CREEK-2,,,,,,,
2500072,FDL OPERATING LLC,SALT CREEK,43.381820,-106.286910,2000,3532,3311,221,1325,366,328252,Cret. Upr,WALL CREEK-2,,,,,,,
2500073,FDL OPERATING LLC,SALT CREEK,43.381777,-106.290205,2000,0,0,0,0,594,0,Cret. Upr,WALL CREEK,,,,,,,
2500075,FDL OPERATING LLC,SALT CREEK,43.373600,-106.272307,2000,2149,2014,135,811,366,245776,Cret. Upr,WALL CREEK-2,,,,,,,
2500083,FDL OPERATING LLC,SALT CREEK,43.377240,-106.273900,2000,81,74,7,43,214,0,Cret. Upr,WALL CREEK-2,,,,,,,
2500084,FDL OPERATING LLC,SALT CREEK,43.381905,-106.273811,2000,1601,1463,138,825,366,178450,Cret. Upr,WALL CREEK 1-2,,,,,,,
2500087,FDL OPERATING LLC,SALT CREEK,43.373460,-106.290245,2000,963,881,82,489,366,81279,Cret. Upr,WALL CREEK,,,,,,,
2500090,FDL OPERATING LLC,SALT CREEK,43.372351,-106.288535,2000,1176,1076,100,601,366,143107,Cret. Upr,WALL CREEK,,,,,,,
2500098,FDL OPERATING LLC,SALT CREEK,43.382804,-106.310494,2000,750,702,48,285,366,92241,Cret. Upr,WALL CREEK,,,,,,,
2500099,FDL OPERATING LLC,SALT CREEK,43.382881,-106.308241,2000,1023,959,64,386,366,84059,Cret. Upr,WALL CREEK,,,,,,,
2500112,FDL OPERATING LLC,SALT CREEK,43.383000,-106.306500,2000,2332,2186,146,878,366,546722,Cret. Upr,WALL CREEK-2,,,,,,,
2500113,FDL OPERATING LLC,SALT CREEK,43.383844,-106.294721,2000,5249,4919,330,1977,366,923,Cret. Lwr,MUDDY,,,,,,,
